frame,found,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
477,0,15,motor,,,,,,,
478,0,15,motor,,,,,,,
479,0,15,motor,,,,,,,
480,0,15,motor,,,,,,,
481,0,15,motor,,,,,,,
482,0,15,motor,,,,,,,
483,0,15,motor,,,,,,,
484,0,15,motor,,,,,,,
485,0,15,motor,,,,,,,
486,0,15,motor,,,,,,,
487,0,15,motor,,,,,,,
488,0,15,motor,,,,,,,
489,0,15,motor,,,,,,,
490,0,15,motor,,,,,,,
491,0,15,motor,,,,,,,
492,0,15,motor,,,,,,,
493,0,15,motor,,,,,,,
494,0,15,motor,,,,,,,
495,0,15,motor,,,,,,,
496,0,15,motor,,,,,,,
497,0,15,motor,,,,,,,
498,0,15,motor,,,,,,,
499,0,15,motor,,,,,,,
500,0,15,motor,,,,,,,
501,0,15,motor,,,,,,,
502,0,15,motor,,,,,,,
503,0,15,motor,,,,,,,
504,0,15,motor,,,,,,,
505,0,15,motor,,,,,,,
506,0,15,motor,,,,,,,
507,0,15,motor,,,,,,,
508,0,15,motor,,,,,,,
509,0,15,motor,,,,,,,
510,0,15,motor,,,,,,,
511,0,15,motor,,,,,,,
512,0,15,motor,,,,,,,
513,0,15,motor,,,,,,,
514,0,15,motor,,,,,,,
515,0,15,motor,,,,,,,
516,0,15,motor,,,,,,,
517,0,15,motor,,,,,,,
518,0,15,motor,,,,,,,
519,0,15,motor,,,,,,,
520,0,15,motor,,,,,,,
521,0,15,motor,,,,,,,
522,0,15,motor,,,,,,,
523,0,15,motor,,,,,,,
524,0,15,motor,,,,,,,
525,0,15,motor,,,,,,,
526,0,15,motor,,,,,,,
527,0,15,motor,,,,,,,
528,0,15,motor,,,,,,,
529,0,15,motor,,,,,,,
530,0,15,motor,,,,,,,
531,0,15,motor,,,,,,,
532,0,15,motor,,,,,,,
533,0,15,motor,,,,,,,
534,0,15,motor,,,,,,,
535,0,15,motor,,,,,,,
536,0,15,motor,,,,,,,
537,0,15,motor,,,,,,,
538,0,15,motor,,,,,,,
539,0,15,motor,,,,,,,
540,0,15,motor,,,,,,,
541,0,15,motor,,,,,,,
542,0,15,motor,,,,,,,
543,0,15,motor,,,,,,,
544,0,15,motor,,,,,,,
545,0,15,motor,,,,,,,
546,0,15,motor,,,,,,,
547,0,15,motor,,,,,,,
548,0,15,motor,,,,,,,
549,0,15,motor,,,,,,,
550,0,15,motor,,,,,,,
551,0,15,motor,,,,,,,
552,0,15,motor,,,,,,,
553,0,15,motor,,,,,,,
554,0,15,motor,,,,,,,
555,0,15,motor,,,,,,,
556,0,15,motor,,,,,,,
557,0,15,motor,,,,,,,
558,0,15,motor,,,,,,,
559,0,15,motor,,,,,,,
560,0,15,motor,,,,,,,
561,0,15,motor,,,,,,,
562,0,15,motor,,,,,,,
563,0,15,motor,,,,,,,
564,0,15,motor,,,,,,,
565,0,15,motor,,,,,,,
566,0,15,motor,,,,,,,
567,0,15,motor,,,,,,,
568,0,15,motor,,,,,,,
569,0,15,motor,,,,,,,
570,0,15,motor,,,,,,,
571,0,15,motor,,,,,,,
572,0,15,motor,,,,,,,
573,0,15,motor,,,,,,,
574,0,15,motor,,,,,,,
575,0,15,motor,,,,,,,
576,0,15,motor,,,,,,,
577,0,15,motor,,,,,,,
